Negative log P values,Empirical frequency,Expected frequency,Motif
0.07099876690736165,0.17296671004043493,0.17195104926263882,['1']
0.022201037086229454,0.17201295312878515,0.1716795215072803,['5']
0.013038875962433612,0.1396547343579564,0.13947302112947454,['2']
0.008100950393898312,0.12228567161750861,0.12217836253169215,['6']
0.006405133240755465,0.13933905514772368,0.13924919401508734,['4']
